State, rank9, STATE, 0.001820, 0.001821, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.001821, 0.001821, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.001825, 0.013998, 0.012173, 0.000000, MPI_Bcast
State, rank9, STATE, 0.014043, 1.131139, 1.117096, 0.000000, MPI_Scatter
State, rank9, STATE, 1.131140, 7.945370, 6.814230, 0.000000, MPI_Scatter
State, rank9, STATE, 8.572317, 15.030278, 6.457962, 0.000000, MPI_Gather
State, rank9, STATE, 15.030293, 18.434763, 3.404470, 0.000000, MPI_Finalize
State, rank8, STATE, 0.003220, 0.003221, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.003222, 0.003222, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.003226, 0.006937, 0.003711, 0.000000, MPI_Bcast
State, rank8, STATE, 0.006988, 1.123447, 1.116459, 0.000000, MPI_Scatter
State, rank8, STATE, 1.123447, 7.923779, 6.800332, 0.000000, MPI_Scatter
State, rank8, STATE, 8.573036, 15.026796, 6.453759, 0.000000, MPI_Gather
State, rank8, STATE, 15.026813, 18.435169, 3.408357, 0.000000, MPI_Finalize
State, rank79, STATE, 0.004789, 0.004790, 0.000001, 0.000000, MPI_Comm_size
State, rank79, STATE, 0.004790, 0.004791, 0.000000, 0.000000, MPI_Comm_rank
State, rank79, STATE, 0.004794, 0.016798, 0.012004, 0.000000, MPI_Bcast
State, rank79, STATE, 0.016844, 7.794833, 7.777989, 0.000000, MPI_Scatter
State, rank79, STATE, 7.794835, 14.513051, 6.718216, 0.000000, MPI_Scatter
State, rank79, STATE, 14.787721, 18.241499, 3.453778, 0.000000, MPI_Gather
State, rank79, STATE, 18.241513, 18.435853, 0.194340, 0.000000, MPI_Finalize
State, rank78, STATE, 0.007512, 0.007513, 0.000001, 0.000000, MPI_Comm_size
State, rank78, STATE, 0.007513, 0.007513, 0.000000, 0.000000, MPI_Comm_rank
State, rank78, STATE, 0.007518, 0.008024, 0.000506, 0.000000, MPI_Bcast
State, rank78, STATE, 0.008069, 7.685744, 7.677675, 0.000000, MPI_Scatter
State, rank78, STATE, 7.685744, 14.411675, 6.725930, 0.000000, MPI_Scatter
State, rank78, STATE, 14.750812, 17.952634, 3.201823, 0.000000, MPI_Gather
State, rank78, STATE, 17.952641, 18.435328, 0.482686, 0.000000, MPI_Finalize
State, rank77, STATE, 0.005685, 0.005686, 0.000001, 0.000000, MPI_Comm_size
State, rank77, STATE, 0.005687, 0.005687, 0.000000, 0.000000, MPI_Comm_rank
State, rank77, STATE, 0.005692, 0.006198, 0.000506, 0.000000, MPI_Bcast
State, rank77, STATE, 0.006242, 7.583846, 7.577604, 0.000000, MPI_Scatter
State, rank77, STATE, 7.583847, 14.310699, 6.726852, 0.000000, MPI_Scatter
State, rank77, STATE, 14.683012, 18.273401, 3.590389, 0.000000, MPI_Gather
State, rank77, STATE, 18.273410, 18.435369, 0.161959, 0.000000, MPI_Finalize
State, rank76, STATE, 0.004356, 0.004357, 0.000001, 0.000000, MPI_Comm_size
State, rank76, STATE, 0.004357, 0.004357, 0.000000, 0.000000, MPI_Comm_rank
State, rank76, STATE, 0.004361, 0.016576, 0.012215, 0.000000, MPI_Bcast
State, rank76, STATE, 0.016615, 7.481915, 7.465301, 0.000000, MPI_Scatter
