State, rank9, STATE, 0.000585, 0.000586, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.000586, 0.000586, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.000590, 0.012558, 0.011968, 0.000000, MPI_Bcast
State, rank9, STATE, 0.012600, 3.963908, 3.951308, 0.000000, MPI_Scatter
State, rank9, STATE, 3.963909, 24.735247, 20.771338, 0.000000, MPI_Scatter
State, rank9, STATE, 27.423375, 46.936455, 19.513080, 0.000000, MPI_Gather
State, rank9, STATE, 46.936472, 58.978403, 12.041931, 0.000000, MPI_Finalize
State, rank8, STATE, 0.002857, 0.002858, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.002858, 0.002858, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.002864, 0.013047, 0.010183, 0.000000, MPI_Bcast
State, rank8, STATE, 0.013094, 3.873812, 3.860718, 0.000000, MPI_Scatter
State, rank8, STATE, 3.873813, 24.645625, 20.771813, 0.000000, MPI_Scatter
State, rank8, STATE, 27.403189, 46.919746, 19.516557, 0.000000, MPI_Gather
State, rank8, STATE, 46.919773, 58.977220, 12.057447, 0.000000, MPI_Finalize
State, rank7, STATE, 0.004290, 0.004292, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.004292, 0.004292, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.004297, 0.015202, 0.010905, 0.000000, MPI_Bcast
State, rank7, STATE, 0.015246, 3.841834, 3.826587, 0.000000, MPI_Scatter
State, rank7, STATE, 3.841835, 24.613656, 20.771821, 0.000000, MPI_Scatter
State, rank7, STATE, 27.216550, 46.904293, 19.687743, 0.000000, MPI_Gather
State, rank7, STATE, 46.904303, 58.977159, 12.072856, 0.000000, MPI_Finalize
State, rank63, STATE, 0.005030, 0.005030, 0.000001, 0.000000, MPI_Comm_size
State, rank63, STATE, 0.005031, 0.005031, 0.000000, 0.000000, MPI_Comm_rank
State, rank63, STATE, 0.005035, 0.017034, 0.012000, 0.000000, MPI_Bcast
State, rank63, STATE, 0.017077, 24.118202, 24.101125, 0.000000, MPI_Scatter
State, rank63, STATE, 24.118203, 44.787619, 20.669416, 0.000000, MPI_Scatter
State, rank63, STATE, 45.951898, 58.933602, 12.981704, 0.000000, MPI_Gather
State, rank63, STATE, 58.933613, 58.978433, 0.044820, 0.000000, MPI_Finalize
State, rank62, STATE, 0.001779, 0.001780, 0.000001, 0.000000, MPI_Comm_size
State, rank62, STATE, 0.001780, 0.001781, 0.000000, 0.000000, MPI_Comm_rank
State, rank62, STATE, 0.001785, 0.013760, 0.011975, 0.000000, MPI_Bcast
State, rank62, STATE, 0.013803, 23.708748, 23.694945, 0.000000, MPI_Scatter
State, rank62, STATE, 23.708749, 44.378996, 20.670247, 0.000000, MPI_Scatter
State, rank62, STATE, 45.807817, 58.828736, 13.020920, 0.000000, MPI_Gather
State, rank62, STATE, 58.828753, 58.978934, 0.150180, 0.000000, MPI_Finalize
State, rank61, STATE, 0.003760, 0.003761, 0.000001, 0.000000, MPI_Comm_size
State, rank61, STATE, 0.003761, 0.003762, 0.000000, 0.000000, MPI_Comm_rank
State, rank61, STATE, 0.003765, 0.015747, 0.011982, 0.000000, MPI_Bcast
State, rank61, STATE, 0.015792, 23.295060, 23.279268, 0.000000, MPI_Scatter
State, rank61, STATE, 23.295062, 43.964343, 20.669282, 0.000000, MPI_Scatter
State, rank61, STATE, 45.618377, 57.191889, 11.573511, 0.000000, MPI_Gather
State, rank61, STATE, 57.191899, 58.978441, 1.786542, 0.000000, MPI_Finalize
State, rank60, STATE, 0.007347, 0.007348, 0.000001, 0.000000, MPI_Comm_size
State, rank60, STATE, 0.007348, 0.007348, 0.000000, 0.000000, MPI_Comm_rank
State, rank60, STATE, 0.007353, 0.007857, 0.000505, 0.000000, MPI_Bcast
State, rank60, STATE, 0.007901, 22.885727, 22.877826, 0.000000, MPI_Scatter
