State, rank99, STATE, 0.030001, 0.030005, 0.000004, 0.000000, MPI_Comm_size
State, rank99, STATE, 0.030005, 0.030006, 0.000001, 0.000000, MPI_Comm_rank
State, rank99, STATE, 0.030015, 0.065025, 0.035010, 0.000000, MPI_Bcast
State, rank99, STATE, 0.065129, 48.260412, 48.195283, 0.000000, MPI_Scatter
State, rank99, STATE, 48.260413, 135.975440, 87.715027, 0.000000, MPI_Scatter
State, rank99, STATE, 213.878145, 252.647809, 38.769664, 0.000000, MPI_Gather
State, rank99, STATE, 252.647843, 286.687964, 34.040121, 0.000000, MPI_Finalize
State, rank98, STATE, 0.021639, 0.021643, 0.000005, 0.000000, MPI_Comm_size
State, rank98, STATE, 0.021644, 0.021644, 0.000001, 0.000000, MPI_Comm_rank
State, rank98, STATE, 0.021657, 0.046994, 0.025337, 0.000000, MPI_Bcast
State, rank98, STATE, 0.047139, 47.849109, 47.801970, 0.000000, MPI_Scatter
State, rank98, STATE, 47.849111, 135.565320, 87.716210, 0.000000, MPI_Scatter
State, rank98, STATE, 233.039311, 252.927451, 19.888140, 0.000000, MPI_Gather
State, rank98, STATE, 252.927491, 286.693099, 33.765608, 0.000000, MPI_Finalize
State, rank97, STATE, 0.028679, 0.028684, 0.000005, 0.000000, MPI_Comm_size
State, rank97, STATE, 0.028684, 0.028685, 0.000001, 0.000000, MPI_Comm_rank
State, rank97, STATE, 0.028698, 0.041117, 0.012419, 0.000000, MPI_Bcast
State, rank97, STATE, 0.041259, 47.439199, 47.397940, 0.000000, MPI_Scatter
State, rank97, STATE, 47.439201, 135.156610, 87.717409, 0.000000, MPI_Scatter
State, rank97, STATE, 250.839360, 252.300448, 1.461088, 0.000000, MPI_Gather
State, rank97, STATE, 252.300487, 286.689248, 34.388761, 0.000000, MPI_Finalize
State, rank96, STATE, 0.010756, 0.010761, 0.000005, 0.000000, MPI_Comm_size
State, rank96, STATE, 0.010761, 0.010762, 0.000001, 0.000000, MPI_Comm_rank
State, rank96, STATE, 0.010774, 0.059489, 0.048715, 0.000000, MPI_Bcast
State, rank96, STATE, 0.059605, 47.028057, 46.968452, 0.000000, MPI_Scatter
State, rank96, STATE, 47.028059, 134.745747, 87.717689, 0.000000, MPI_Scatter
State, rank96, STATE, 181.447476, 216.336466, 34.888990, 0.000000, MPI_Gather
State, rank96, STATE, 216.336501, 286.688644, 70.352143, 0.000000, MPI_Finalize
State, rank95, STATE, 0.024026, 0.024031, 0.000005, 0.000000, MPI_Comm_size
State, rank95, STATE, 0.024032, 0.024032, 0.000001, 0.000000, MPI_Comm_rank
State, rank95, STATE, 0.024044, 0.063019, 0.038974, 0.000000, MPI_Bcast
State, rank95, STATE, 0.063141, 46.617582, 46.554441, 0.000000, MPI_Scatter
State, rank95, STATE, 46.617584, 134.336047, 87.718463, 0.000000, MPI_Scatter
State, rank95, STATE, 145.085823, 219.520462, 74.434639, 0.000000, MPI_Gather
State, rank95, STATE, 219.520496, 286.689729, 67.169233, 0.000000, MPI_Finalize
State, rank94, STATE, 0.062098, 0.062102, 0.000004, 0.000000, MPI_Comm_size
State, rank94, STATE, 0.062103, 0.062104, 0.000001, 0.000000, MPI_Comm_rank
State, rank94, STATE, 0.062115, 0.067271, 0.005155, 0.000000, MPI_Bcast
State, rank94, STATE, 0.067428, 46.206895, 46.139467, 0.000000, MPI_Scatter
State, rank94, STATE, 46.206896, 133.927456, 87.720560, 0.000000, MPI_Scatter
State, rank94, STATE, 144.268696, 217.154922, 72.886226, 0.000000, MPI_Gather
State, rank94, STATE, 217.154959, 286.688068, 69.533109, 0.000000, MPI_Finalize
